word	frequency
the	384615
-s	224911
and	184264
to	163164
a	162555
of	155528
i	101834
in	96455
it	85210
-ing	84853
he	80731
-ed	78998
that	78957
was	77502
's	68705
you	60890
she	57242
his	54344
her	53196
for	48122
on	47129
had	46761
with	45473
as	42245
but	42108
at	37969
is	35699
-ly	33684
my	30808
said	30383
they	30307
not	29992
from	28708
be	28518
me	27312
have	26782
this	26109
-er	25605
what	25591
one	24641
all	24380
him	24264
out	24208
we	23942
up	23363
were	22208
like	21948
there	21860
or	21003
if	20830
an	20487
by	20195
so	19660
no	19398
would	18608
into	17735
them	17487
are	17316
then	17208
when	17058
been	16723
could	16545
back	16274
about	15929
time	15821
their	15532
do	15256
your	15043
just	14525
know	14274
more	13031
-ies	12821
who	12651
down	12357
get	12328
now	12209
even	11648
can	11553
re-	11546
other	11401
some	11190
look	11011
don't	10969
want	10830
over	10672
see	10393
how	10376
say	10338
only	10249
will	10228
here	10160
hand	9982
way	9868
did	9848
didn't	9775
than	9683
-es	9571
think	9537
us	9334
our	9302
long	9283
side	9202
off	9198
un-	9148
through	9079
its	8937
two	8826
man	8715
before	8671
work	8647
which	8633
too	8565
where	8487
first	8320
head	8254
i'm	8222
-ers	8204
new	8168
right	8142
still	8089
after	8030
people	7794
something	7775
has	7765
day	7764
old	7715
in-	7708
come	7691
any	7376
never	7360
little	7320
go	7241
away	7202
looked	7184
well	7162
asimov	7090
make	7082
thought	7082
around	7031
much	7020
made	6891
again	6887
got	6849
world	6749
eyes	6717
going	6624
face	6597
take	6589
good	6543
let	6333
should	6175
own	6152
why	6121
story	6088
because	5795
years	5689
most	5673
need	5531
came	5488
might	5452
tell	5429
open	5426
those	5382
another	5290
asked	5254
while	5189
book	5124
light	5119
last	5118
very	5085
door	5035
nothing	5034
left	4996
place	4990
you're	4948
room	4944
knew	4930
enough	4927
maybe	4858
life	4845
put	4761
find	4741
took	4741
though	4738
few	4735
wasn't	4705
read	4703
three	4658
voice	4636
these	4634
went	4540
turn	4519
turned	4498
dis-	4494
things	4428
human	4394
sure	4360
thing	4353
told	4351
talk	4295
being	4290
great	4276
really	4238
big	4231
once	4197
fiction	4182
real	4170
science	4165
stop	4164
night	4143
every	4139
hard	4114
mind	4099
feel	4094
same	4094
end	4090
ever	4044
always	4026
woman	4015
saw	4010
found	3993
he'd	3986
many	3968
against	3964
next	3954
each	3950
keep	3950
can't	3939
moment	3872
must	3866
behind	3862
himself	3861
felt	3822
out-	3818
show	3796
point	3769
form	3760
ship	3759
dark	3748
both	3738
without	3734
part	3725
-ness	3709
name	3695
toward	3694
set	3689
body	3673
mean	3621
home	3620
may	3618
de-	3618
anything	3616
play	3606
help	3606
until	3597
couldn't	3584
kind	3578
far	3576
water	3565
run	3548
mother	3537
course	3517
yes	3516
house	3468
across	3456
high	3408
seemed	3408
yet	3405
remember	3355
i'd	3354
wall	3352
call	3350
-ment	3325
small	3311
under	3307
black	3281
such	3280
am	3276
stood	3264
sound	3262
im-	3257
between	3251
-able	3246
almost	3192
city	3192
near	3151
better	3137
-est	3125
cover	3118
give	3111
since	3061
earth	3049
else	3042
young	3024
second	3022
-ation	3004
men	3002
best	2998
half	2995
ask	2993
space	2979
someone	2973
called	2964
year	2959
love	2943
heard	2928
also	2927
along	2918
air	2918
done	2910
father	2907
already	2889
seen	2887
clear	2829
i've	2819
dead	2815
everything	2801
hear	2767
gone	2721
car	2710
past	2705
we're	2690
used	2680
line	2678
seem	2676
live	2672
i'll	2670
boy	2653
white	2640
lot	2630
least	2580
deep	2569
hold	2564
girl	2552
leave	2540
box	2540
hair	2536
matter	2531
close	2523
perhaps	2504
front	2499
words	2489
she'd	2487
doing	2483
order	2473
use	2467
free	2464
hadn't	2452
wouldn't	2437
oh	2433
does	2429
move	2428
feet	2427
later	2427
doesn't	2426
started	2425
wait	2422
less	2405
understand	2396
sat	2388
five	2387
bit	2385
age	2369
gave	2354
full	2313
question	2311
answer	2309
stay	2304
walk	2296
began	2289
four	2284
breath	2283
short	2275
trying	2271
red	2248
issue	2245
myself	2242
different	2238
god	2235
tried	2235
soon	2230
herself	2225
together	2218
sign	2214
probably	2208
window	2196
touch	2187
street	2178
-ized	2159
certain	2155
held	2141
whole	2138
hundred	2138
sent	2136
rest	2130
table	2118
start	2117
speak	2114
floor	2111
coming	2104
interest	2103
over-	2103
ago	2082
star	2081
lost	2072
future	2071
send	2071
death	2052
kid	2050
please	2048
novel	2032
ground	2019
bad	2018
isn't	2009
pulled	2009
low	2008
believe	2002
arm	1996
blue	1988
care	1978
idea	1975
moved	1966
family	1955
fact	1947
mouth	1943
sense	1940
power	1930
dream	1925
step	1922
number	1920
change	1920
they're	1916
system	1914
war	1912
