word	frequency
the	6311510
and	3064057
to	2871517
a	2749298
of	2330823
-s	2235991
i	2191787
he	1711867
in	1671503
it	1550268
was	1461052
she	1311695
that	1294279
you	1238203
her	1235123
his	1095737
's	932220
-ing	907008
on	858163
had	832592
with	804493
for	782569
at	700899
as	681769
but	660776
my	630635
is	592424
-ed	588901
they	545208
said	506610
not	497906
me	496813
him	485397
from	485130
we	456805
what	456327
be	447639
do	445962
up	433770
out	432820
this	431660
have	423071
one	400278
there	395329
like	384599
all	380005
were	371754
would	366798
did	340882
so	339923
could	333421
when	332957
if	327650
no	312990
into	307485
an	302807
back	297247
about	293084
then	292617
or	292018
by	285996
them	280140
been	263903
are	260292
just	256950
their	253096
know	252943
time	248847
your	241010
who	239785
get	226375
down	226245
look	221911
say	216780
over	216137
-ly	214670
-er	214348
now	212007
want	201838
see	199554
hand	192776
how	191675
more	191182
even	182196
can	177494
other	176896
man	174741
some	169844
think	169317
way	168237
day	167870
off	165138
only	163122
side	159378
here	158934
don't	150540
through	150368
where	150271
before	149399
head	148608
two	146013
after	144751
around	144280
too	143233
right	142962
come	142152
go	142134
will	140478
eyes	140083
than	138071
long	135843
our	135345
never	133359
got	132756
still	132143
thought	131717
something	130162
little	128145
work	127486
which	127259
let	126563
face	123782
us	123322
take	122227
away	122095
looked	121635
again	121414
mother	120541
old	120529
didn't	120175
good	120133
has	119993
first	119705
going	119207
room	118786
door	118429
make	118003
people	117581
should	117067
made	113475
re-	113366
well	110373
i'm	109876
night	109307
its	106825
new	106310
much	104422
father	103915
turn	103220
because	103038
open	102974
why	100612
any	99810
house	99491
tell	96960
asked	95016
need	94933
own	94491
knew	94351
put	92604
came	91520
years	90595
another	88949
talk	87774
told	87698
life	87080
left	86782
woman	86674
feel	85288
took	85239
home	84436
went	84251
while	83626
place	82283
stop	81642
those	81456
-ies	81431
very	81140
does	81122
always	80904
last	80696
might	79824
though	78493
nothing	77424
voice	76984
turned	76980
girl	76383
few	76172
most	75876
behind	74603
felt	74276
maybe	73659
light	73405
things	73372
sure	73312
in-	72579
car	71906
thing	71812
next	71549
saw	71543
boy	71378
every	71082
